timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
16051,967,942,3131.56,3133.78,3133.78,3131.56,41492.14,3136.0,88207.14,3129.34,6557.78,6551.34,6551.34,6551.34,6551.34,6551.34,6551.34,6551.34,
16072,968,943,3020.64,3022.82,3022.82,3020.64,41089.76,3025.0,86590.82,3018.46,6396.82,6390.46,6390.46,6390.46,6390.46,6390.46,6390.46,6390.46,
16095,969,945,2911.72,2913.86,2913.86,2911.72,40553.4,2916.0,84619.22,2909.58,6080.9,6074.7,6074.7,6074.7,6074.7,6074.7,6074.7,6074.7,
16117,971,948,2699.88,2701.94,2701.94,2699.88,40041.22,2704.0,82763.64,2697.82,5622.02,5616.06,5616.06,5616.06,5616.06,5616.06,5616.06,5616.06,
16137,972,950,2596.96,2598.98,2598.98,2596.96,39204.28,2601.0,80178.32,2594.94,5326.1,5320.3,5320.3,5320.3,5320.3,5320.3,5320.3,5320.3,
16159,974,952,2397.12,2399.06,2399.06,2397.12,38486.2,2401.0,77748.98,2395.18,5038.18,5032.54,5032.54,5032.54,5032.54,5032.54,5032.54,5032.54,
16179,976,955,2205.28,2207.14,2207.14,2205.28,37589.72,2209.0,75170.34,2203.42,4621.3,4615.9,4615.9,4615.9,4615.9,4615.9,4615.9,4615.9,
16200,977,958,2112.36,2114.18,2114.18,2112.36,36256.22,2116.0,71985.4,2110.54,4222.42,4217.26,4217.26,4217.26,4217.26,4217.26,4217.26,4217.26,
16220,979,960,1932.52,1934.26,1934.26,1932.52,34896.44,1936.0,68987.38,1930.78,3966.5,3961.5,3961.5,3961.5,3961.5,3961.5,3961.5,3961.5,
16240,981,963,1760.68,1762.34,1762.34,1760.68,33307.72,1764.0,65872.0,1760.68,3597.62,3595.24,3595.24,3595.24,3595.24,3595.24,3595.24,3595.24,
16260,983,966,1596.84,1598.42,1598.42,1596.84,31451.06,1600.0,62599.52,1598.42,3246.74,3246.74,3246.74,3246.74,3246.74,3246.74,3246.74,3246.74,
16280,985,969,1441.0,1442.5,1442.5,1441.0,29380.32,1444.0,59208.34,1442.5,2913.86,2913.86,2913.86,2913.86,2913.86,2913.86,2913.86,2913.86,
16301,987,973,1293.16,1294.58,1294.58,1293.16,27143.98,1296.0,55697.06,1294.58,2498.02,2498.02,2498.02,2498.02,2498.02,2498.02,2498.02,2498.02,
16322,989,976,1151.98,1154.66,1154.66,1153.32,24766.68,1156.0,52067.06,1154.66,2207.14,2207.14,2207.14,2207.14,2207.14,2207.14,2207.14,2207.14,
16343,991,980,1020.22,1022.74,1022.74,1021.48,22333.86,1024.0,48341.2,1022.74,1847.3,1847.3,1847.3,1847.3,1847.3,1847.3,1847.3,1847.3,
16363,993,983,896.46,898.82,898.82,897.64,19874.8,900.0,44540.88,898.82,1598.42,1598.42,1598.42,1598.42,1598.42,1598.42,1598.42,1598.42,
16383,995,987,780.7,782.9,782.9,781.8,17404.4,784.0,40718.64,782.9,1294.58,1294.58,1294.58,1294.58,1294.58,1294.58,1294.58,1294.58,
16403,997,991,672.94,674.98,674.98,673.96,14937.52,676.0,36891.14,674.98,1022.74,1022.74,1022.74,1022.74,1022.74,1022.74,1022.74,1022.74,
16424,999,995,573.18,575.06,575.06,574.12,12445.6,576.0,32986.92,575.06,782.9,782.9,782.9,782.9,782.9,782.9,782.9,782.9,
16446,1001,999,481.42,484.0,483.14,482.28,10000.86,484.0,29049.96,483.14,575.06,575.06,575.06,575.06,575.06,575.06,575.06,575.06,
16467,1002,1003,438.54,441.0,440.18,439.36,7580.78,441.0,24872.0,440.18,399.22,399.22,399.22,399.22,399.22,399.22,399.22,399.22,
16488,1004,1007,359.52,361.0,360.26,359.52,5336.06,361.0,20993.38,360.26,255.38,255.38,255.38,255.38,255.38,255.38,255.38,255.38,
16508,1006,1010,288.34,289.0,288.34,287.68,3306.86,289.0,17273.04,288.34,168.5,168.5,168.5,168.5,168.5,168.5,168.5,168.5,
16530,1008,1013,224.42,225.0,224.42,223.84,1750.16,225.0,13881.46,224.42,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,
16550,1009,1016,195.46,196.0,195.46,195.46,956.66,196.0,11097.86,196.0,48.74,49.0,49.0,49.0,49.0,49.0,49.0,49.0,
16570,1010,1018,168.5,169.0,168.5,169.0,479.94,169.0,9453.52,169.0,24.82,25.0,25.0,25.0,25.0,25.0,25.0,25.0,
16590,1011,1019,143.54,144.0,143.54,144.0,254.08,144.0,8424.68,144.0,15.86,16.0,16.0,16.0,16.0,16.0,16.0,16.0,
16610,1011,1020,143.54,144.0,143.54,144.0,141.44,144.0,7759.08,144.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,
16631,1011,1021,143.54,144.0,143.54,144.0,144.0,144.0,7445.58,144.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,
16652,1011,1022,143.54,144.0,143.54,144.0,144.0,144.0,7405.08,144.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16672,1011,1022,143.54,144.0,143.54,144.0,144.0,144.0,7499.58,144.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16693,1011,1022,143.54,144.0,143.54,144.0,144.0,144.0,7595.08,144.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16713,1011,1022,143.54,144.0,143.54,144.0,144.0,144.0,7772.18,144.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16734,1011,1022,143.54,144.0,143.54,144.0,144.0,144.0,7999.22,144.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16754,1011,1022,143.54,144.0,143.54,144.0,144.0,144.0,8230.88,144.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16781,1010,1022,168.5,169.0,168.5,169.0,169.0,169.0,8293.42,169.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16802,1010,1022,168.5,169.0,168.5,169.0,169.0,169.0,8517.42,169.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16822,1010,1022,168.5,169.0,168.5,169.0,169.0,169.0,8727.18,169.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16854,1010,1022,168.5,169.0,168.5,169.0,169.0,169.0,8910.52,169.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16875,1009,1022,195.46,196.0,195.46,196.0,196.0,196.0,8891.1,196.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16895,1009,1022,195.46,196.0,195.46,196.0,196.0,196.0,9045.66,196.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
