@relation Combined_train

@attribute var_x numeric
@attribute 'delta var_x' numeric
@attribute mean_x numeric
@attribute var_y numeric
@attribute 'delta var_y' numeric
@attribute mean_y numeric
@attribute var_z numeric
@attribute 'delta var_z' numeric
@attribute mean_z numeric
@attribute class {none,motion,tap}

@data
0.009377,0.000044,0.884897,0.004769,-0.000235,5.228937,0.007132,-0.000275,8.458236,none
0.014616,0.005239,0.873405,0.006879,0.002109,5.238513,0.006791,-0.000341,8.45249,none
0.016799,0.002183,0.859997,0.006838,-0.00004,5.240429,0.006662,-0.000128,8.450575,none
0.018622,0.001823,0.84659,0.007113,0.000275,5.246175,0.006673,0.000011,8.444829,none
0.021905,0.003283,0.837013,0.007407,0.000293,5.250006,0.00682,0.000147,8.448659,none
0.026032,0.004127,0.819775,0.007906,0.000499,5.257667,0.006644,-0.000176,8.45249,none
0.026601,0.000569,0.810198,0.007983,0.000077,5.263413,0.006644,0,8.45249,none
0.028362,0.001761,0.798706,0.009432,0.001449,5.27299,0.006644,0,8.45249,none
0.027217,-0.001145,0.787214,0.008992,-0.00044,5.280651,0.007117,0.000473,8.446744,none
0.026986,-0.000231,0.769975,0.010874,0.001882,5.29789,0.007025,-0.000092,8.437167,none
0.027423,0.000437,0.756568,0.011662,0.000789,5.307466,0.007025,0,8.437167,none
0.0275,0.000077,0.74316,0.011927,0.000264,5.318959,0.006985,-0.00004,8.435252,none
0.02619,-0.00131,0.729753,0.008526,-0.003401,5.336197,0.005939,-0.001046,8.425675,none
0.022962,-0.003228,0.710599,0.009113,0.000587,5.35152,0.006002,0.000062,8.42376,none
0.018769,-0.004193,0.693361,0.008992,-0.000121,5.357266,0.006585,0.000583,8.418013,none
0.014146,-0.004622,0.674207,0.007425,-0.001566,5.370673,0.006677,0.000092,8.408437,none
0.011725,-0.002421,0.655054,0.007084,-0.000341,5.376419,0.006526,-0.00015,8.410352,none
0.00992,-0.001805,0.643561,0.004883,-0.002201,5.387911,0.003537,-0.00299,8.400775,none
0.004912,-0.005008,0.630154,0.00471,-0.000172,5.389827,0.002711,-0.000825,8.406521,none
0.004766,-0.000147,0.633985,0.004736,0.000026,5.387911,0.002711,0,8.406521,none
0.002682,-0.002084,0.626323,0.004197,-0.000539,5.393658,0.002711,0,8.406521,none
0.0027,0.000018,0.6359,0.004124,-0.000073,5.389827,0.003096,0.000385,8.400775,none
0.002828,0.000128,0.637815,0.003316,-0.000807,5.393658,0.002917,-0.00018,8.39886,none
0.002828,0,0.637815,0.003151,-0.000165,5.399404,0.003023,0.000106,8.396944,none
0.002729,-0.000099,0.643561,0.002935,-0.000216,5.401319,0.00248,-0.000543,8.393114,none
0.002124,-0.000605,0.649308,0.002858,-0.000077,5.403234,0.002271,-0.000209,8.387368,none
0.00204,-0.000084,0.647392,0.002627,-0.000231,5.40515,0.002641,0.000371,8.389283,none
0.00204,0,0.647392,0.002564,-0.000062,5.403234,0.002564,-0.000077,8.387368,none
0.001801,-0.000238,0.645477,0.002333,-0.000231,5.40515,0.002495,-0.00007,8.389283,none
0.001746,-0.000055,0.647392,0.001746,-0.000587,5.397488,0.002682,0.000187,8.395029,none
0.001684,-0.000062,0.649308,0.001655,-0.000092,5.395573,0.002627,-0.000055,8.393114,none
0.001614,-0.00007,0.651223,0.001596,-0.000059,5.391742,0.002627,0,8.393114,none
0.001614,0,0.651223,0.001596,0,5.391742,0.002682,0.000055,8.395029,none
0.001614,0,0.651223,0.000792,-0.000803,5.385996,0.002729,0.000048,8.396944,none
0.001684,0.00007,0.653138,0.000792,0,5.385996,0.002476,-0.000253,8.39886,none
0.0016,-0.000084,0.655054,0.00066,-0.000132,5.382165,0.002216,-0.00026,8.400775,none
0.002124,0.000525,0.653138,0.000803,0.000143,5.384081,0.003155,0.000939,8.408437,none
0.00204,-0.000084,0.655054,0.00095,0.000147,5.38025,0.003005,-0.00015,8.406521,none
0.002271,0.000231,0.649308,0.000954,0.000004,5.382165,0.003151,0.000147,8.410352,none
0.002271,0,0.649308,0.001097,0.000143,5.38025,0.002994,-0.000158,8.412267,none
0.002436,0.000165,0.643561,0.001097,0,5.38025,0.003005,0.000011,8.410352,none
0.003008,0.000572,0.632069,0.001097,0,5.38025,0.002876,-0.000128,8.419929,none
0.002847,-0.000161,0.628239,0.000954,-0.000143,5.382165,0.003096,0.00022,8.416098,none
0.00321,0.000363,0.622492,0.000921,-0.000033,5.376419,0.002876,-0.00022,8.419929,none
0.003067,-0.000143,0.616746,0.001097,0.000176,5.38025,0.002917,0.00004,8.418014,none
0.003005,-0.000062,0.614831,0.001086,-0.000011,5.378335,0.002682,-0.000235,8.421844,none
0.003562,0.000558,0.60717,0.001247,0.000161,5.382165,0.002363,-0.000319,8.416098,none
0.00361,0.000048,0.605254,0.001247,0,5.382165,0.002363,0,8.416098,none
0.003269,-0.000341,0.599508,0.001379,0.000132,5.385996,0.002535,0.000172,8.414183,none
0.00314,-0.000128,0.597593,0.001482,0.000103,5.389827,0.002568,0.000033,8.408437,none
0.003151,0.000011,0.591847,0.001482,0,5.389827,0.002568,0,8.408437,none
0.002994,-0.000158,0.589931,0.001555,0.000073,5.393658,0.002564,-0.000004,8.406521,none
0.002917,-0.000077,0.584185,0.001655,0.000099,5.395573,0.002682,0.000117,8.402691,none
0.002876,-0.00004,0.58227,0.001655,0,5.395573,0.002682,0,8.402691,none
0.002348,-0.000528,0.574608,0.001702,0.000048,5.393658,0.002682,0,8.402691,none
0.00204,-0.000308,0.570778,0.001702,0,5.393658,0.002564,-0.000117,8.406521,none
0.001761,-0.000279,0.574608,0.001629,-0.000073,5.389827,0.001596,-0.000969,8.39886,none
0.001508,-0.000253,0.568862,0.001449,-0.00018,5.391742,0.001555,-0.00004,8.396945,none
0.002069,0.000561,0.563116,0.001449,0,5.391742,0.001555,0,8.396945,none
0.001684,-0.000385,0.55737,0.001214,-0.000235,5.395573,0.001596,0.00004,8.39886,none
0.001831,0.000147,0.553539,0.001214,0,5.395573,0.001702,0.000106,8.396945,none
0.001831,0,0.553539,0.001159,-0.000055,5.397488,0.001174,-0.000528,8.389283,none
0.001776,-0.000055,0.547793,0.001097,-0.000062,5.399404,0.001097,-0.000077,8.391198,none
0.002142,0.000367,0.543963,0.000803,-0.000293,5.403234,0.001027,-0.00007,8.389283,none
0.002186,0.000044,0.540132,0.000734,-0.00007,5.401319,0.001306,0.000279,8.393114,none
0.002186,0,0.53247,0.000734,0,5.401319,0.001508,0.000202,8.395029,none
0.002186,0,0.53247,0.000719,-0.000015,5.397488,0.001555,0.000048,8.396945,none
0.002142,-0.000044,0.52864,0.000719,0,5.397488,0.001555,0,8.396945,none
0.002242,0.000099,0.522894,0.000627,-0.000092,5.395573,0.001449,-0.000106,8.39886,none
0.001977,-0.000264,0.515232,0.000528,-0.000099,5.393658,0.001361,-0.000088,8.402691,none
0.002095,0.000117,0.511401,0.000528,0,5.393658,0.001361,0,8.402691,none
0.001655,-0.00044,0.50374,0.000422,-0.000106,5.391742,0.001379,0.000018,8.404606,none
0.001849,0.000194,0.505655,0.000334,-0.000088,5.387912,0.001247,-0.000132,8.408437,none
0.001908,0.000059,0.497994,0.000715,0.000382,5.391742,0.001655,0.000407,8.402691,motion
0.003537,0.001629,0.486502,0.000774,0.000059,5.395573,0.002407,0.000752,8.412267,motion
