meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16,class
994,997,841,837.58,9854.14,838.72,10904.56,6677.68,18940.36,7433.96,674.98,7486.16,7486.16,7486.16,7486.16,7486.16,7486.16,7486.16,squeeze
989,993,1156,1151.98,14246.24,1153.32,12966.86,9018.84,21522.26,9348.34,900,9437.78,9437.78,9437.78,9437.78,9437.78,9437.78,9437.78,squeeze
984,988,1521,1516.38,18847.72,1519.46,14997.26,11466.3,24093.22,11389.7,1225,11497.7,11497.7,11497.7,11497.7,11497.7,11497.7,11497.7,squeeze
978,984,2025,2019.66,23541.06,2025,16931.8,13875.8,26503.2,13491.7,1521,13684.9,13684.9,13684.9,13684.9,13684.9,13684.9,13684.9,squeeze
973,979,2500,2494.06,28275.94,2500,18873.38,16413.38,28959.42,15661.32,1936,15888.36,15888.36,15888.36,15888.36,15888.36,15888.36,15888.36,squeeze
967,975,3136,3129.34,32739.46,3136,20665.8,18924.68,31190.56,17728.44,2304,18077.24,18077.24,18077.24,18077.24,18077.24,18077.24,18077.24,squeeze
962,970,3721,3713.74,37163.46,3721,22457.6,21352.08,33493.32,19758.94,2809,20154.78,20154.78,20154.78,20154.78,20154.78,20154.78,20154.78,squeeze
956,965,4489,4481.02,41547.6,4489,24154.22,23989.5,35724.9,21754.7,3364,22247.18,22247.18,22247.18,22247.18,22247.18,22247.18,22247.18,squeeze
950,960,5329,5320.3,45695.5,5329,25890.68,26999.82,37980.34,23776.52,3969,24380.52,24380.52,24380.52,24380.52,24380.52,24380.52,24380.52,squeeze
944,956,6241,6231.58,49647.08,6241,27595.8,30014.14,40192.24,25765.8,4489,26574.12,26574.12,26574.12,26574.12,26574.12,26574.12,26574.12,squeeze
939,951,7056,7045.98,53219.78,7056,29174.26,32579.74,42474.94,27617.38,5184,28506.82,28506.82,28506.82,28506.82,28506.82,28506.82,28506.82,squeeze
933,947,8100,8089.26,55206.2,8100,30101.32,33705.04,44044.56,28942.74,5776,30059.94,30059.94,30059.94,30059.94,30059.94,30059.94,30059.94,squeeze
929,943,8836,8824.78,56281.08,8836,30690.06,34369.3,45491.7,29788.9,6400,30987.86,30987.86,30987.86,30987.86,30987.86,30987.86,30987.86,squeeze
925,940,9604,9592.3,56315.32,9604,30990.16,34769.08,46340.1,30134.28,6889,31493.28,31493.28,31493.28,31493.28,31493.28,31493.28,31493.28,squeeze
921,937,10404,10395.88,55810.52,10404,31043.52,34772.06,46679.46,30095.82,7396,31595.34,31595.34,31595.34,31595.34,31595.34,31595.34,31595.34,squeeze
919,935,10816,10807.72,55333,10816,30951.7,34485.44,46827.94,29765.04,7744,31294.64,31294.64,31294.64,31294.64,31294.64,31294.64,31294.64,squeeze
918,934,11025,11016.64,55199.84,11025,30632.26,34298.92,46659.94,29550.44,7921,31073.64,31073.64,31073.64,31073.64,31073.64,31073.64,31073.64,squeeze
918,934,11025,11016.64,55199.84,11025,30417.54,34298.92,46455.12,29550.44,7921,31073.64,31073.64,31073.64,31073.64,31073.64,31073.64,31073.64,squeeze
917,933,11236,11227.56,55068.68,11236,30176.76,34221.2,46055.98,29472.24,8100,30963.44,30963.44,30963.44,30963.44,30963.44,30963.44,30963.44,squeeze
917,933,11236,11227.56,55068.68,11236,30160.12,34221.2,46055.98,29472.24,8100,30963.44,30963.44,30963.44,30963.44,30963.44,30963.44,30963.44,squeeze
917,933,11236,11227.56,55068.68,11236,30160.12,34221.2,46055.98,29472.24,8100,30963.44,30963.44,30963.44,30963.44,30963.44,30963.44,30963.44,squeeze
917,933,11236,11227.56,55068.68,11236,30160.12,34221.2,46055.98,29472.24,8100,30963.44,30963.44,30963.44,30963.44,30963.44,30963.44,30963.44,squeeze
917,933,11236,11227.56,55068.68,11236,30160.12,34221.2,46055.98,29472.24,8100,30963.44,30963.44,30963.44,30963.44,30963.44,30963.44,30963.44,squeeze
917,933,11236,11227.56,55068.68,11236,30160.12,34221.2,46055.98,29472.24,8100,30963.44,30963.44,30963.44,30963.44,30963.44,30963.44,30963.44,squeeze
917,933,11236,11227.56,55068.68,11236,30160.12,34216.98,46055.98,29472.24,8100,30963.44,30963.44,30963.44,30963.44,30963.44,30963.44,30963.44,squeeze
917,933,11236,11227.56,55068.68,11236,30160.12,34221.2,46060.2,29472.24,8100,30963.44,30963.44,30963.44,30963.44,30963.44,30963.44,30963.44,squeeze
917,933,11236,11227.56,55068.68,11236,30160.12,34221.2,46064.42,29476.46,8100,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,squeeze
917,933,11236,11227.56,55068.68,11236,30160.12,34225.42,46064.42,29476.46,8100,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,squeeze
917,933,11236,11227.56,55068.68,11236,30160.12,34225.42,46064.42,29476.46,8100,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,squeeze
917,933,11236,11227.56,55068.68,11236,30160.12,34225.42,46064.42,29476.46,8100,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,squeeze
917,933,11236,11227.56,55068.68,11236,30160.12,34225.42,46064.42,29476.46,8100,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,squeeze
917,933,11236,11227.56,55068.68,11236,30160.12,34225.42,46064.42,29476.46,8100,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,squeeze
917,933,11236,11227.56,55068.68,11236,30160.12,34225.42,46064.42,29476.46,8100,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,squeeze
917,933,11236,11227.56,55068.68,11236,30160.12,34225.42,46064.42,29476.46,8100,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,squeeze
917,933,11236,11227.56,55068.68,11236,30160.12,34225.42,46064.42,29476.46,8100,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,squeeze
917,933,11236,11227.56,55068.68,11236,30160.12,34225.42,46199.36,29476.46,8100,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,squeeze
918,933,11025,11016.64,55199.84,11025,30284.24,34303.1,46617.58,29554.62,8100,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,squeeze
918,933,11025,11012.46,55199.84,11025,30346.32,34303.1,46833.82,29554.62,8100,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,squeeze
918,933,11025,11012.46,55199.84,11025,30492.4,34303.1,47045.02,29554.62,8100,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,squeeze
919,933,10816,10803.58,55333,10816,30819.94,34382.78,47399.9,29634.78,8100,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,30967.02,squeeze
920,934,10609,10596.7,55468.16,10609,31149.56,34464.46,47672.32,29716.94,7921,31077.18,31077.18,31077.18,31077.18,31077.18,31077.18,31077.18,squeeze
920,935,10609,10596.7,55468.16,10609,31354.76,34464.46,47664,29737.04,7744,31206.44,31206.44,31206.44,31206.44,31206.44,31206.44,31206.44,squeeze
921,936,10404,10395.88,55605.32,10404,31645.74,34548.14,47737.06,29984.9,7569,31451.3,31451.3,31451.3,31451.3,31451.3,31451.3,31451.3,squeeze
923,937,10000,9992.04,55885.64,10000,31957.82,34721.5,47806.88,30354.34,7396,31710.1,31710.1,31710.1,31710.1,31710.1,31710.1,31710.1,squeeze
924,939,9801,9793.12,56135.04,9801,32021.6,34852.32,47439.74,30611.08,7056,32028.88,32028.88,32028.88,32028.88,32028.88,32028.88,32028.88,squeeze
927,942,9216,9208.36,56753.08,9216,32072.12,35294.58,47173.02,30970.96,6561,32385.16,32385.16,32385.16,32385.16,32385.16,32385.16,32385.16,squeeze
930,944,8645.3,8641.6,57320.48,8649,31992,35580.52,46721.26,31148.78,6241,32425.02,32425.02,32425.02,32425.02,32425.02,32425.02,32425.02,squeeze
933,947,8096.42,8092.84,57463.8,8100,31753.56,35713.04,45989.66,31019.88,5776,32238.44,32238.44,32238.44,32238.44,32238.44,32238.44,32238.44,squeeze
