timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
33325,1022,1022,1.0,0.92,0.94,0.96,1.0,0.94,0.96,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33345,1022,1022,1.0,0.92,0.94,0.96,1.0,0.94,0.96,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33365,1022,1022,1.0,0.92,0.94,0.96,1.0,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
33386,1022,1022,1.0,0.92,0.92,0.96,1.0,0.92,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33406,1022,1022,1.0,0.92,0.92,0.96,0.98,0.92,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33427,1022,1022,1.0,0.92,0.92,0.96,0.98,0.92,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33447,1022,1022,1.0,0.92,0.92,0.96,0.98,0.92,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33467,1022,1022,1.0,0.92,0.92,0.96,0.98,0.92,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33487,1022,1022,1.0,0.94,0.92,0.96,0.98,0.92,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33507,1022,1022,1.0,0.96,0.92,0.96,0.98,0.92,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33528,1022,1022,1.0,0.96,0.92,0.96,0.98,0.92,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33548,1022,1022,1.0,0.96,0.92,0.98,0.98,0.92,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33568,1022,1022,1.0,0.96,0.92,0.98,0.98,0.92,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33588,1022,1022,1.0,0.96,0.92,0.98,0.98,0.92,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33608,1022,1022,1.0,0.96,0.9,0.98,0.98,0.92,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33629,1022,1022,1.0,0.96,0.92,0.98,0.98,0.92,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33650,1022,1022,1.0,0.96,0.94,0.98,0.98,0.92,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33672,1022,1022,1.0,0.96,0.94,0.98,0.98,0.92,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33692,1022,1022,1.0,0.96,0.94,0.98,0.98,0.92,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33713,1022,1022,1.0,0.96,0.94,0.98,0.98,0.92,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33734,1022,1022,1.0,0.96,0.94,0.98,0.98,0.9,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33755,1022,1022,1.0,0.96,0.94,0.98,0.98,0.9,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33775,1022,1022,1.0,0.96,0.94,0.98,0.98,0.92,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33795,1022,1022,1.0,0.96,0.94,0.98,0.98,0.92,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33817,1022,1022,1.0,0.96,0.94,0.98,0.98,0.92,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33837,1022,1022,1.0,0.96,0.94,0.98,0.98,0.92,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33858,1022,1022,1.0,0.96,0.94,0.98,0.98,0.92,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33878,1022,1022,1.0,0.96,0.94,0.98,0.98,0.92,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33900,1022,1022,1.0,0.96,0.94,0.98,0.98,0.92,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33920,1022,1022,1.0,0.96,0.94,0.98,0.98,0.92,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33941,1022,1022,1.0,0.96,0.94,0.98,0.98,0.92,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33961,1022,1022,1.0,0.96,0.94,0.98,0.98,0.92,0.98,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33981,1022,1022,1.0,0.96,0.94,0.98,0.98,0.92,0.98,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34001,1022,1022,1.0,0.96,0.94,0.98,0.98,0.92,0.98,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34021,1022,1022,1.0,0.96,0.94,0.98,0.98,0.9,0.98,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34041,1022,1022,1.0,0.96,0.94,0.98,0.96,0.92,0.98,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34062,1022,1022,1.0,0.96,0.96,0.98,0.96,0.94,0.98,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34082,1022,1022,1.0,0.96,0.96,0.98,0.96,0.94,0.98,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34104,1022,1022,1.0,0.96,0.96,0.98,0.96,0.94,0.98,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34125,1022,1022,1.0,0.96,0.96,0.98,0.96,0.94,0.98,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34145,1022,1022,1.0,0.98,0.96,0.98,0.96,0.94,0.98,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34165,1022,1022,1.0,1.0,0.96,0.98,0.96,0.94,0.98,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34185,1022,1022,1.0,1.0,0.96,0.98,0.96,0.94,0.98,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34206,1022,1022,1.0,1.0,0.96,0.98,0.96,0.94,0.98,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34226,1022,1022,1.0,1.0,0.94,0.98,0.96,0.94,0.98,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34247,1022,1022,1.0,1.0,0.92,1.0,0.96,0.94,0.98,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34268,1022,1022,1.0,1.0,0.92,1.0,0.96,0.94,0.96,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34288,1022,1022,1.0,1.0,0.92,1.0,0.96,0.94,0.96,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34308,1022,1022,1.0,1.0,0.92,1.0,0.96,0.94,0.96,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
