eventIndex,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,tapType
42,9.959879,9.921572,9.959879,9.959879,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.921572,notap
43,9.921572,9.959879,9.959879,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.921572,9.921572,notap
44,9.959879,9.959879,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,notap
45,9.959879,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,notap
46,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,notap
47,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,notap
48,9.921572,9.921572,9.959879,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,notap
49,9.921572,9.959879,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,notap
50,9.959879,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,notap
51,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.883265,notap
52,9.921572,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.883265,9.921572,notap
53,9.959879,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.883265,9.921572,9.883265,notap
54,9.921572,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.883265,9.921572,9.883265,9.883265,notap
55,9.921572,9.921572,9.959879,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,notap
56,9.921572,9.959879,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,notap
57,9.959879,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,notap
58,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,notap
59,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,notap
60,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,notap
61,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,notap
62,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,notap
63,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,notap
64,9.921572,9.921572,9.921572,9.921572,9.921572,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,notap
65,9.921572,9.921572,9.921572,9.921572,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,notap
66,9.921572,9.921572,9.921572,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,notap
67,9.921572,9.921572,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,notap
68,9.921572,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,notap
69,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,notap
70,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,notap
71,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,notap
72,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,notap
73,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.844957,notap
74,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,notap
75,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,notap
76,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,notap
77,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,notap
78,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,notap
79,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,notap
80,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,notap
81,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,notap
82,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,notap
83,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,notap
84,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,notap
85,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,notap
86,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,notap
