@relation 8taps_temporal_analysis

@attribute 'x-axis mean' numeric
@attribute 'x-axis var' numeric
@attribute 'y-axis mean' numeric
@attribute 'y-axis var' numeric
@attribute 'z-axis mean' numeric
@attribute 'z-axis var' numeric
@attribute class {none,tap}

@data
0.045969,0.000235,0.337104,0.000235,9.871773,0.000308,none
0.045969,0.000235,0.337104,0.000235,9.871773,0.000308,none
0.045969,0.000235,0.337104,0.000235,9.871773,0.000308,none
0.045969,0.000235,0.335188,0.000275,9.869857,0.000334,none
0.045969,0.000235,0.335188,0.000275,9.871773,0.000308,none
0.045969,0.000235,0.333273,0.000308,9.871773,0.000308,none
0.044053,0.000187,0.333273,0.000308,9.871773,0.000308,none
0.044053,0.000187,0.333273,0.000308,9.869857,0.000334,none
0.044053,0.000187,0.333273,0.000308,9.871773,0.000308,none
0.044053,0.000187,0.333273,0.000308,9.869857,0.000334,none
0.042138,0.000132,0.333273,0.000308,9.871773,0.000308,none
0.042138,0.000132,0.333273,0.000308,9.871773,0.000308,none
0.042138,0.000132,0.331358,0.000334,9.869857,0.000334,none
0.042138,0.000132,0.331358,0.000334,9.869857,0.000334,none
0.042138,0.000132,0.329442,0.000352,9.867942,0.000352,none
0.042138,0.000132,0.329442,0.000352,9.867942,0.000352,none
0.042138,0.000132,0.329442,0.000352,9.866026,0.000363,none
0.042138,0.000132,0.329442,0.000352,9.864111,0.000367,none
0.040223,0.00007,0.329442,0.000352,9.866026,0.000363,none
0.040223,0.00007,0.329442,0.000352,9.864111,0.000367,none
0.038307,0,0.331358,0.000334,9.862196,0.000363,none
0.038307,0,0.329442,0.000352,9.86028,0.000352,none
0.038307,0,0.329442,0.000352,9.86028,0.000352,none
0.038307,0,0.331358,0.000334,9.86028,0.000352,none
0.038307,0,0.329442,0.000352,9.858365,0.000334,none
0.038307,0,0.331358,0.000334,9.856449,0.000308,none
0.038307,0,0.331358,0.000334,9.856449,0.000308,none
0.040223,0.00007,0.331358,0.000334,9.856449,0.000308,none
0.040223,0.00007,0.331358,0.000334,9.854534,0.000275,none
0.040223,0.00007,0.331358,0.000334,9.854534,0.000275,none
0.040223,0.00007,0.329442,0.000352,9.854534,0.000275,none
