timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
13719,1022,1022,1.0,0.92,0.9,0.98,0.96,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13740,1022,1022,1.0,0.92,0.9,0.98,0.94,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13761,1022,1022,1.0,0.92,0.9,0.98,0.94,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13781,1022,1022,1.0,0.92,0.9,0.98,0.94,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13802,1022,1022,1.0,0.92,0.9,0.98,0.94,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13822,1022,1022,1.0,0.92,0.9,0.98,0.94,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13842,1022,1022,1.0,0.92,0.9,0.98,0.94,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13862,1022,1022,1.0,0.92,0.9,1.0,0.94,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13882,1022,1022,1.0,0.92,0.9,1.0,0.94,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13903,1022,1022,1.0,0.92,0.9,1.0,0.94,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13924,1022,1022,1.0,0.92,0.9,1.0,0.94,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13944,1022,1022,1.0,0.92,0.9,1.0,0.94,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13965,1022,1022,1.0,0.92,0.9,1.0,0.94,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13985,1022,1022,1.0,0.92,0.92,1.0,0.94,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
14006,1022,1022,1.0,0.92,0.94,1.0,0.94,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
14026,1022,1022,1.0,0.94,0.94,1.0,0.94,1.0,1.0,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
14048,1022,1022,1.0,0.96,0.94,1.0,0.94,0.98,1.0,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
14068,1022,1022,1.0,0.96,0.94,1.0,0.94,0.98,1.0,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
14088,1022,1022,1.0,0.96,0.96,1.0,0.92,0.98,1.0,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
14108,1022,1022,1.0,0.96,0.96,1.0,0.94,0.98,1.0,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
14128,1022,1022,1.0,0.96,0.96,1.0,0.94,0.98,1.0,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
14149,1022,1022,1.0,0.96,0.96,1.0,0.94,0.98,1.0,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
14170,1022,1022,1.0,0.96,0.96,1.0,0.94,0.98,1.0,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
14190,1022,1022,1.0,0.96,0.96,1.0,0.94,0.98,1.0,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
14210,1022,1022,1.0,0.96,0.96,1.0,0.94,0.98,1.0,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
14231,1022,1022,1.0,0.96,0.96,1.0,0.94,0.98,1.0,0.98,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
14251,1022,1022,1.0,0.96,0.96,1.0,0.94,0.98,1.0,0.98,0.9,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
14272,1022,1022,1.0,0.96,0.96,1.0,0.94,0.98,1.0,0.98,0.9,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
14292,1022,1022,1.0,0.96,0.96,1.0,0.94,0.98,0.98,0.98,0.9,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
14313,1022,1022,1.0,0.96,0.96,1.0,0.94,0.98,0.96,0.96,0.9,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14333,1022,1022,1.0,0.96,0.96,1.0,0.94,0.98,0.96,0.96,0.9,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14353,1022,1022,1.0,0.96,0.96,1.0,0.94,0.98,0.96,0.96,0.9,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14374,1022,1022,1.0,0.96,0.96,1.0,0.94,0.98,0.96,0.96,0.9,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14394,1022,1022,1.0,0.96,0.96,1.0,0.94,0.98,0.96,0.96,0.9,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14415,1022,1022,1.0,0.96,0.94,1.0,0.94,0.98,0.96,0.96,0.9,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14436,1022,1022,1.0,0.96,0.94,1.0,0.94,0.98,0.96,0.96,0.9,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14457,1022,1022,1.0,0.96,0.94,1.0,0.94,0.98,0.96,0.96,0.9,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14478,1022,1022,1.0,0.96,0.94,1.0,0.94,0.98,0.96,0.96,0.9,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14499,1022,1022,1.0,0.96,0.94,1.0,0.94,0.98,0.96,0.96,0.9,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14519,1022,1022,1.0,0.96,0.94,1.0,0.94,0.98,0.96,0.96,0.9,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14540,1022,1022,1.0,0.96,0.94,1.0,0.94,0.98,0.96,0.96,0.9,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14560,1022,1022,1.0,0.96,0.92,1.0,0.94,0.98,0.96,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14581,1022,1022,1.0,0.96,0.92,1.0,0.94,0.98,0.96,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
