var_x,delta var_x,mean_x,var_y,delta var_y,mean_y,var_z,delta var_z,mean_z,class
0.218249233,0.000440234,0.867658695,0.115179649,0.00070437,5.290228125,0.036187163,0.008878035,8.473558875,motion
0.232531127,0.014281895,0.835097551,0.116236204,0.001056555,5.29788955,0.036080771,-0.000106391,8.475474275,motion
0.234864363,0.002333235,0.823605383,0.117013944,0.00077774,5.30172025,0.036080771,0,8.475474275,motion
0.242260279,0.007395916,0.800621048,0.117410153,0.000396209,5.297889525,0.036598045,0.000517273,8.481220325,motion
0.247304616,0.005044338,0.779552074,0.12222337,0.004813216,5.282566625,0.038047146,0.001449101,8.4907971,motion
0.248918804,0.001614188,0.760398462,0.122883724,0.000660354,5.271074425,0.038193888,0.000146742,8.49845855,motion
0.260452911,0.011534107,0.737414127,0.120829304,-0.00205442,5.263412985,0.038193888,0,8.49845855,motion
0.266381384,0.005928473,0.722091235,0.119831442,-0.000997862,5.25575155,0.03763626,-0.000557628,8.50612,motion
0.277332182,0.010950799,0.693360815,0.119288486,-0.000542956,5.251920825,0.037313421,-0.000322839,8.50995075,motion
0.287541922,0.01020974,0.672291838,0.11819891,-0.001089576,5.24617475,0.036920882,-0.000392539,8.5118661,motion
0.289126762,0.00158484,0.656968949,0.117523883,-0.000675027,5.2385133,0.0365797,-0.000341182,8.5176122,motion
0.308673112,0.01954635,0.611000278,0.120183623,0.002659739,5.248090095,0.037254726,0.000675027,8.51378145,motion
0.310932976,0.002259864,0.603338831,0.118290625,-0.001892998,5.236597945,0.037287745,3.30182E-05,8.5156968,motion
0.317918008,0.006985032,0.576523772,0.116294907,-0.001995717,5.22893652,0.036462308,-0.000825437,8.5214429,motion
0.321590285,0.003672277,0.555454797,0.116144494,-0.000150413,5.22702116,0.036667752,0.000205444,8.51378145,motion
0.326634623,0.005044338,0.545877991,0.11024538,-0.005899114,5.21552901,0.035875335,-0.000792417,8.502289275,motion
0.303977293,-0.02265733,0.576523772,0.0983334,-0.01191198,5.18296786,0.026766172,-0.009109163,8.527188975,none
0.267349891,-0.036627402,0.526724372,0.094121843,-0.004211557,5.156152805,0.019722426,-0.007043746,8.557834775,none
0.191926959,-0.075422933,0.463517449,0.084964997,-0.009156846,5.17147569,0.017004007,-0.002718419,8.552088725,none
0.029976204,-0.161950755,0.377326186,0.020173677,-0.06479132,5.22702119,0.015980462,-0.001023545,8.546342625,none
0.02205201,-0.007924194,0.358172574,0.020852374,0.000678697,5.23659799,0.010048316,-0.005932146,8.525273675,none
0.022804075,0.000752065,0.367749381,0.018823638,-0.002028736,5.22319049,0.009872226,-0.00017609,8.529104375,none
0.021934614,-0.000869461,0.365834019,0.017007687,-0.001815951,5.20595224,0.008845016,-0.00102721,8.536765825,none
0.0247411,0.002806486,0.375410826,0.019428971,0.002421284,5.194460065,0.008845016,0,8.536765825,none
0.025133641,0.000392541,0.377326187,0.017062715,-0.002366256,5.20403689,0.008452472,-0.000392543,8.53485045,none
0.023812942,-0.0013207,0.36966474,0.016798571,-0.000264144,5.20786764,0.008452472,0,8.53485045,none
